County,Pop Growth from 2020-2023,Latitude,Longitude
"Maricopa County, Arizona",140812,15.6836396,-87.3329197
"Collin County, Texas",119623,33.1609629,-96.6060984
"Harris County, Texas",100333,29.8119769,-95.3741247
"Denton County, Texas",93305,33.1838787,-97.1413417
"Polk County, Florida",88172,27.9448537,-81.7268789
"Fort Bend County, Texas",87669,29.511218,-95.7807348
"Montgomery County, Texas",86063,30.301949,-95.5065944
"Williamson County, Texas",81639,30.6580927,-97.6041649
"Bexar County, Texas",72178,29.4263987,-98.5104781
"Riverside County, California",69449,33.7219991,-116.0372472
"Hillsborough County, Florida",69309,27.9184543,-82.3488057
"Lee County, Florida",69026,26.5999265,-81.8823135
"Tarrant County, Texas",67107,32.7513658,-97.335696
"Pasco County, Florida",66840,28.2996183,-82.4522702
"Clark County, Nevada",61686,36.3467726,-115.090737
"Wake County, North Carolina",59792,35.7979355,-78.6118311
"Utah County, Utah",55579,40.177058,-111.69107185434031
"Pinal County, Arizona",54052,15.6836396,-87.3329197
"Osceola County, Florida",46643,28.0443842,-81.1437541
"Mecklenburg County, North Carolina",46278,35.2356385,-80.8139485
"Horry County, South Carolina",43713,33.9204504,-78.9578973
"St Johns County, Florida",43011,29.9032284,-81.4145468
"St Lucie County, Florida",42145,27.3900897,-80.457904
"Orange County, Florida",39737,28.495156,-81.3111658
"Palm Beach County, Florida",39519,26.6279798,-80.4494174
"Manatee County, Florida",39476,27.5213933,-82.3801566
"Kaufman County, Texas",38550,32.601641,-96.3375126
"Travis County, Texas",38348,30.2878569,-97.7561392
"Lake County, Florida",38246,28.7006859,-81.78994
"Hays County, Texas",36518,30.0447901,-98.0393127
"Brevard County, Florida",35204,28.2100203,-80.7997185
"Volusia County, Florida",34581,29.0533409,-81.1310761
"Duval County, Florida",33038,30.3540073,-81.6632109
"Sarasota County, Florida",32776,27.1813609,-82.3609195
"Marion County, Florida",32487,29.2182454,-82.0626948
"Greenville County, South Carolina",30787,34.8550021,-82.3356457
"Comal County, Texas",30269,29.7979704,-98.2690787
"Ellis County, Texas",28512,32.3347829,-96.7920233
"Weld County, Colorado",27984,40.5632344,-104.4835287
"Spartanburg County, South Carolina",27319,34.937029,-81.9955954
"Collier County, Florida",27000,26.087964,-81.3794941
"Ada County, Idaho",26395,43.4136539,-116.2367421
"Hidalgo County, Texas",25615,26.3530256,-98.216445
"Brazoria County, Texas",25445,29.18161,-95.4993375
"Gwinnett County, Georgia",25167,33.9566869,-84.0227467
"Sussex County, Delaware",24880,38.6908097,-75.3691421
"Canyon County, Idaho",24661,43.6435692,-116.7017144
"Benton County, Arkansas",24395,36.3456186,-94.2670404
"Johnston County, North Carolina",24147,35.5285816,-78.3768021
"Parker County, Texas",23942,32.77725975,-97.80455986920202
"Rutherford County, Tennessee",23803,35.8563421,-86.4205249
"Berkeley County, South Carolina",23684,33.1595951,-79.9070461
"Douglas County, Colorado",23583,39.3420437,-104.9468945
"Hamilton County, Indiana",22649,40.0749813,-86.0498885
"Rockwall County, Texas",22149,32.8923464,-96.4066987
"Madison County, Alabama",22097,34.7736807,-86.5675095
"Johnson County, Texas",21942,32.3766071,-97.3568623
"Brunswick County, North Carolina",21796,34.0718195,-78.1914215
"Sumter County, Florida",21275,28.6689748,-82.076402
"Bell County, Texas",20935,31.0081659,-97.4314413
"Ocean County, New Jersey",20732,39.977818,-74.3319287
"Frederick County, Maryland",20605,39.4608481,-77.4118135
"Washington County, Utah",20437,37.2393471,-113.525776
"Canadian County, Oklahoma",20395,35.5438102,-98.0031532
"San Joaquin County, California",20348,37.9372901,-121.2773719
"Baldwin County, Alabama",20280,30.5677527,-87.7324392
"Knox County, Tennessee",20153,35.9859998,-83.9375598
"Forsyth County, Georgia",19986,34.235309,-84.1335644
"Broward County, Florida",19133,26.1598074,-80.4623642
"Montgomery County, Tennessee",18591,36.4803824,-87.3786221
"Chesterfield County, Virginia",18565,14.0146616,-88.5743855
"Cherokee County, Georgia",18446,34.2391265,-84.4720272
"Charlotte County, Florida",18139,26.9013269,-81.9156799
"Pima County, Arizona",17987,15.6836396,-87.3329197
"Placer County, California",17634,39.1012064,-120.7650606
"Hernando County, Florida",17183,28.5710156,-82.4605068
"Union County, North Carolina",16982,34.9795158,-80.5128209
"Delaware County, Ohio",16470,40.2317686,-82.9651045
"Bay County, Florida",16244,30.2481693,-85.6593633
"Hampshire County, Massachusetts",15886,42.3432499,-72.6213339
"Clark County, Washington",15812,45.7669047,-122.4940866
"Liberty County, Texas",15793,30.0856736,-94.7856262
"Flagler County, Florida",15411,29.4844412,-81.2917415
"Wilson County, Tennessee",15015,36.1466658,-86.3119998
"Chester County, Pennsylvania",14954,39.9829308,-75.7652424
"Williamson County, Tennessee",14908,35.8772991,-86.8978708
"Snohomish County, Washington",14828,48.0074736,-121.7304882
"Washington County, Arkansas",14775,35.9672625,-94.2280656
"Guadalupe County, Texas",14757,29.6480061,-97.8279576
"Lexington County, South Carolina",14481,33.8986841,-81.275054
"Charleston County, South Carolina",14468,32.8152646,-79.7996814
"York County, South Carolina",14292,34.9603293,-81.1655408
"Santa Rosa County, Florida",14151,30.6964502,-87.0097524
"Hall County, Georgia",13794,34.2905901,-83.8194028
"Loudoun County, Virginia",13642,14.0146616,-88.5743855
"Paulding County, Georgia",13584,33.8908526,-84.8569161
"Clay County, Florida",13488,29.9766524,-81.8470596
"Hunt County, Texas",13093,33.1161567,-96.0808922
"Capitol Planning Region, Connecticut",12892,41.79083215,-72.54229312563935
"Adams County, Colorado",12865,39.8714085,-104.2701374
