,County,Overall Score,Rent vs. Mortgage Score,Demand Score,Affordability Score,Poverty Score,Rent vs. Mortgage,Median Price % Increase,Median Price Increase,Median Home Price (2023),Median Household Income,Pop Growth % from 2020-2023,Pop Growth from 2020-2023,Total Housing Units built after 2020,Demand Ratio,Affordability Ratio,Poverty Percent,Latitude,Longitude
97,"Hampshire County, Massachusetts",31,4,10,10,7,15.0,30.036630036630044,82000.0,355000.0,81878.0,10.835106673214383,15886,476,33.37394957983193,172.01260504201682,11.7,42.3432499,-72.6213339
46,"Lincoln County, South Dakota",23,6,2,5,10,205.0,35.892016806722694,85423.0,323423.0,98387.0,11.561662198391431,7590,1411,5.379163713678242,69.72856130403969,5.3,43.2724187,-96.7387762
83,"Effingham County, Georgia",23,5,3,7,8,67.0,33.16490341596926,63010.0,253000.0,88111.0,9.777655020024852,6372,736,8.657608695652174,119.71603260869566,8.6,32.3419626,-81.338687
33,"Hernando County, Florida",23,7,5,4,7,297.0,48.571428571428584,102000.0,312000.0,60582.0,8.783687073160749,17183,1019,16.86261040235525,59.45240431795878,12.1,28.5710156,-82.4605068
11,"Rockwall County, Texas",23,9,2,2,10,452.0,36.854545454545445,93242.0,346242.5,124291.0,20.29077117572693,22149,4565,4.851916757940854,27.22694414019715,4.7,32.8923464,-96.4066987
32,"Paulding County, Georgia",21,7,2,3,9,298.0,52.38095238095238,110000.0,320000.0,87459.0,8.010378582380014,13584,2348,5.785349233390119,37.24829642248722,7.9,33.8908526,-84.8569161
4,"Flagler County, Florida",21,9,2,2,8,533.0,44.31818181818181,97500.0,317500.0,73336.0,13.282138794084204,15411,3229,4.772685041808609,22.7116754413131,9.1,29.4844412,-81.2917415
108,"Union County, Ohio",21,3,2,6,10,-82.0,31.707317073170742,65000.0,270000.0,104512.0,10.385987160180704,6552,1123,5.834372217275156,93.06500445235974,5.2,40.3255937,-83.3676859
8,"Nassau County, Florida",21,9,1,2,9,467.0,32.877917868376784,75466.0,305000.0,90808.0,11.501576386066276,10470,3828,2.7351097178683386,23.722048066875654,6.8,30.6624329,-81.7707334
1,"Sarasota County, Florida",20,10,1,1,8,621.0,48.888888888888886,110000.0,335000.0,78309.0,7.513347102607071,32776,10454,3.135259230916396,7.490816912186723,8.5,27.1813609,-82.3609195
