,County,Median Price % Increase,Median Price Increase,Median Home Price (2023),Median Household Income,Pop Growth % from 2020-2023,Pop Growth from 2020-2023,Latitude,Longitude
156,"Gem County, Idaho",79.55801104972375,144000.0,325000.0,60771.0,9.334786218347872,1799,44.0123019,-116.3846609
43,"Canyon County, Idaho",71.5481171548117,171000.0,410000.0,70594.0,10.583529674310029,24661,43.6435692,-116.7017144
124,"Boise County, Idaho",71.5481171548117,171000.0,410000.0,74121.0,11.129958246346547,853,43.9873519,-115.7390188
25,"Travis County, Texas",66.12903225806451,205000.0,515000.0,95151.0,2.9575517135799174,38348,30.2878569,-97.7561392
115,"Tooele County, Utah",63.02334197851056,170100.0,440000.0,91353.0,11.854679299297928,8696,40.4062872,-113.1966394
128,"Bonner County, Idaho",61.71003717472118,166000.0,435000.0,64860.0,10.85163386283567,5144,48.2663565,-116.5952716
122,"Iron County, Utah",61.01694915254237,144000.0,380000.0,66499.0,11.259161713998594,6498,37.8546136,-113.2867347
110,"Bastrop County, Texas",60.37735849056605,160000.0,425000.0,73403.0,12.973066685703216,12721,30.0541116,-97.3887764
27,"Hays County, Texas",60.37735849056605,160000.0,425000.0,89074.0,14.96835650577124,36518,30.0447901,-98.0393127
7,"Williamson County, Texas",60.37735849056605,160000.0,425000.0,101891.0,13.262730037429819,81639,30.6580927,-97.6041649
66,"Montgomery County, Tennessee",57.73809523809524,97000.0,265000.0,67478.0,8.401534700222797,18591,36.4803824,-87.3786221
17,"Pinal County, Arizona",57.02479338842977,138000.0,380000.0,76232.0,12.56476834492905,54052,32.8162,-111.2845
0,"Maricopa County, Arizona",56.312625250501014,140500.0,390000.0,83668.0,3.1678319680346334,140812,33.2918,-112.4291
59,"Washington County, Utah",56.299840510366835,176500.0,490000.0,75572.0,11.228195478394639,20437,37.2393471,-113.525776
146,"Walton County, Georgia",55.660377358490564,118000.0,330000.0,83037.0,9.82317462277939,9544,33.762884,-83.740416
139,"Limestone County, Alabama",55.367231638418076,98000.0,275000.0,83159.0,10.02946172375077,10451,34.8342463,-86.9901321
52,"Madison County, Alabama",55.12640449438203,98125.0,276125.0,80426.0,5.658599293731427,22097,34.7736807,-86.5675095
149,"Lincoln County, North Carolina",53.63073110285006,108200.0,309950.0,78615.0,9.693877551020407,8455,35.4866424,-81.2062724
70,"Pima County, Arizona",53.19148936170214,100000.0,288000.0,64007.0,1.7209558207955666,17987,32.0575,-111.6661
41,"Gwinnett County, Georgia",53.15315315315314,118000.0,340000.0,83918.0,2.6260514066231906,25167,33.9566869,-84.0227467
138,"Jefferson County, Idaho",53.061224489795904,130000.0,375000.0,76474.0,10.032175032175033,3118,43.8010248,-112.3498022
132,"Barrow County, Georgia",52.38095238095238,110000.0,320000.0,77583.0,10.491658827591948,8811,33.9848611,-83.6996482
92,"Paulding County, Georgia",52.38095238095238,110000.0,320000.0,87459.0,8.010378582380014,13584,33.8908526,-84.8569161
113,"Jasper County, Georgia",52.38095238095238,110000.0,320000.0,63718.0,12.228891010776152,1793,33.3254635,-83.6868559
19,"Mecklenburg County, North Carolina",51.8987341772152,123000.0,360000.0,80645.0,4.141493418338456,46278,35.2356385,-80.8139485
16,"Utah County, Utah",51.384848484848476,169570.0,499570.0,95085.0,8.375439839058458,55579,40.177058,-111.69107185434031
11,"Lee County, Florida",51.01092261213108,109750.0,324900.0,71607.0,9.016559401316954,69026,26.5999265,-81.8823135
135,"Juab County, Utah",50.9620353202225,167660.0,496650.0,94181.0,10.186987054742374,1204,39.6949628,-112.8342117
63,"Knox County, Tennessee",50.684931506849324,92500.0,275000.0,70013.0,4.194033081104493,20153,35.9859998,-83.9375598
