County,Median Income
"Kaufman County, Texas",84075
"Long County, Georgia",56819
"Rockwall County, Texas",121303
"Comal County, Texas",93744
"Dawson County, Georgia",84516
"Custer County, Colorado",66250
"Broadwater County, Montana",61679
"Liberty County, Texas",59605
"Sumter County, Florida",70105
"Parker County, Texas",95721
"Brunswick County, North Carolina",99999
"St Johns County, Florida",99999
"Jackson County, Georgia",99999
"Jasper County, South Carolina",99999
"Hays County, Texas",99999
"Ellis County, Texas",99999
"Chambers County, Texas",99999
"Blanco County, Texas",99999
"Montgomery County, Texas",99999
"Walton County, Florida",99999
"Camas County, Idaho",99999
"Kendall County, Texas",99999
"Flagler County, Florida",99999
"Wise County, Texas",99999
"Williamson County, Texas",99999
"Canadian County, Oklahoma",99999
"Hunt County, Texas",99999
"New Kent County, Virginia",99999
"Pender County, North Carolina",99999
"Bastrop County, Texas",99999
"San Juan County, Colorado",99999
"St Lucie County, Florida",99999
"Pinal County, Arizona",99999
"Horry County, South Carolina",99999
"McClain County, Oklahoma",99999
"Jasper County, Georgia",99999
"Johnson County, Texas",99999
"Polk County, Florida",99999
"Lancaster County, South Carolina",99999
"Osceola County, Florida",99999
"Tooele County, Utah",99999
"Pasco County, Florida",99999
"Musselshell County, Montana",99999
"Boundary County, Idaho",99999
"Lincoln County, South Dakota",99999
"Nassau County, Florida",99999
"Mineral County, Montana",99999
"Franklin County, North Carolina",99999
"Iron County, Utah",99999
"Washington County, Utah",99999
"Currituck County, North Carolina",99999
"Boise County, Idaho",99999
"Collin County, Texas",99999
"Johnston County, North Carolina",99999
"Petroleum County, Montana",99999
"Lincoln County, Montana",99999
"Waller County, Texas",99999
"Bonner County, Idaho",99999
"Hampshire County, Massachusetts",99999
"Billings County, North Dakota",99999
"Adams County, Idaho",99999
"Canyon County, Idaho",99999
"Fort Bend County, Texas",99999
"Dallas County, Iowa",99999
"Barrow County, Georgia",99999
"Sussex County, Delaware",99999
"Bryan County, Georgia",99999
"Union County, Ohio",99999
"Berkeley County, South Carolina",99999
"Denton County, Texas",99999
"Juab County, Utah",99999
"Burleson County, Texas",99999
"Wilson County, Tennessee",99999
"Gulf County, Florida",99999
"Jefferson County, Idaho",99999
"Limestone County, Alabama",99999
"Grimes County, Texas",99999
"Lamar County, Georgia",99999
"Madison County, Montana",99999
"Loudon County, Tennessee",99999
"Lake County, Florida",99999
"Elbert County, Colorado",99999
"Sanders County, Montana",99999
"Manatee County, Florida",99999
"Walton County, Georgia",99999
"Effingham County, Georgia",99999
"Wagoner County, Oklahoma",99999
"Lincoln County, North Carolina",99999
"Charlotte County, Florida",99999
"Gilchrist County, Florida",99999
"Kane County, Utah",99999
"Banks County, Georgia",99999
"Goochland County, Virginia",99999
"Custer County, South Dakota",99999
"Union County, Georgia",99999
"Gem County, Idaho",99999
"Bay County, Florida",99999
"Hood County, Texas",99999
"Monroe County, Georgia",99999
"Burnet County, Texas",99999
