County,Median Income
"Maricopa County, Arizona",80675
"Collin County, Texas",113255
"Harris County, Texas",70789
"Denton County, Texas",71921
"Polk County, Florida",60901
"Fort Bend County, Texas",109987
"Montgomery County, Texas",95946
"Williamson County, Texas",102851
"Bexar County, Texas",67275
"Riverside County, California",84505
"Hillsborough County, Florida",70612
"Lee County, Florida",69368
"Tarrant County, Texas",78872
"Pasco County, Florida",63187
"Clark County, Nevada",69911
"Wake County, North Carolina",96734
"Utah County, Utah",91263
"Pinal County, Arizona",73313
"Osceola County, Florida",64312
"Mecklenburg County, North Carolina",79265
"Horry County, South Carolina",59880
"St Johns County, Florida",100020
"St Lucie County, Florida",66154
"Orange County, Florida",72629
"Palm Beach County, Florida",76066
"Manatee County, Florida",71385
"Kaufman County, Texas",84075
"Travis County, Texas",92731
"Lake County, Florida",66239
"Hays County, Texas",79990
"Brevard County, Florida",71308
"Volusia County, Florida",63075
"Duval County, Florida",65579
"Sarasota County, Florida",77213
"Marion County, Florida",55265
"Greenville County, South Carolina",71328
"Comal County, Texas",93744
"Ellis County, Texas",93248
"Weld County, Colorado",89182
"Spartanburg County, South Carolina",61955
"Collier County, Florida",82011
"Ada County, Idaho",83881
"Hidalgo County, Texas",49371
"Brazoria County, Texas",91972
"Gwinnett County, Georgia",82296
"Sussex County, Delaware",75406
"Canyon County, Idaho",68473
"Benton County, Arkansas",85269
"Johnston County, North Carolina",75288
"Parker County, Texas",95721
"Rutherford County, Tennessee",78291
"Berkeley County, South Carolina",77874
"Douglas County, Colorado",139010
"Hamilton County, Indiana",114866
"Rockwall County, Texas",121303
"Madison County, Alabama",78058
"Johnson County, Texas",77058
"Brunswick County, North Carolina",71193
"Sumter County, Florida",70105
"Bell County, Texas",62858
"Ocean County, New Jersey",82379
"Frederick County, Maryland",115724
"Washington County, Utah",71976
"Canadian County, Oklahoma",82364
"San Joaquin County, California",82837
"Baldwin County, Alabama",71039
"Knox County, Tennessee",68580
"Forsyth County, Georgia",131660
"Broward County, Florida",70331
"Montgomery County, Tennessee",67890
"Chesterfield County, Virginia",95757
"Cherokee County, Georgia",100824
"Charlotte County, Florida",62164
"Pima County, Arizona",64323
"Placer County, California",109375
"Hernando County, Florida",59202
"Union County, North Carolina",95533
"Delaware County, Ohio",123995
"Bay County, Florida",65999
"Hampshire County, Massachusetts",84025
"Clark County, Washington",90115
"Liberty County, Texas",59605
"Flagler County, Florida",69251
"Wilson County, Tennessee",89462
"Chester County, Pennsylvania",118574
"Williamson County, Tennessee",125943
"Snohomish County, Washington",104083
"Washington County, Arkansas",61985
"Guadalupe County, Texas",88111
"Lexington County, South Carolina",71280
"Charleston County, South Carolina",78795
"York County, South Carolina",80158
"Santa Rosa County, Florida",84715
"Hall County, Georgia",74153
"Loudoun County, Virginia",170463
"Paulding County, Georgia",89237
"Clay County, Florida",82242
"Hunt County, Texas",66885
"Capitol Planning Region, Connecticut",88190
"Adams County, Colorado",86297
