County,Total Housing Units built after 2020
"Baldwin County, Alabama",7469
"Calhoun County, Alabama",297
"Cullman County, Alabama",1087
"DeKalb County, Alabama",195
"Elmore County, Alabama",1160
"Etowah County, Alabama",498
"Houston County, Alabama",958
"Jefferson County, Alabama",4293
"Lauderdale County, Alabama",642
"Lee County, Alabama",2653
"Limestone County, Alabama",2052
"Madison County, Alabama",7616
"Marshall County, Alabama",733
"Mobile County, Alabama",1557
"Montgomery County, Alabama",1371
"Morgan County, Alabama",646
"St. Clair County, Alabama",1159
"Shelby County, Alabama",2329
"Talladega County, Alabama",512
"Tuscaloosa County, Alabama",2033
"Anchorage Municipality, Alaska",310
"Fairbanks North Star Borough, Alaska",422
"Matanuska-Susitna Borough, Alaska",758
"Apache County, Arizona",458
"Cochise County, Arizona",430
"Coconino County, Arizona",1673
"Maricopa County, Arizona",51294
"Mohave County, Arizona",3059
"Navajo County, Arizona",604
"Pima County, Arizona",9710
"Pinal County, Arizona",11656
"Yavapai County, Arizona",3709
"Yuma County, Arizona",1558
"Benton County, Arkansas",6494
"Craighead County, Arkansas",982
"Faulkner County, Arkansas",1654
"Garland County, Arkansas",1071
"Jefferson County, Arkansas",314
"Lonoke County, Arkansas",1022
"Pulaski County, Arkansas",2840
"Saline County, Arkansas",1528
"Sebastian County, Arkansas",626
"Washington County, Arkansas",2762
"White County, Arkansas",734
"Alameda County, California",9857
"Butte County, California",1528
"Contra Costa County, California",5322
"El Dorado County, California",1438
"Fresno County, California",7425
"Humboldt County, California",333
"Imperial County, California",556
"Kern County, California",3897
"Kings County, California",715
"Lake County, California",424
"Los Angeles County, California",34782
"Madera County, California",952
"Marin County, California",424
"Mendocino County, California",151
"Merced County, California",2612
"Monterey County, California",596
"Napa County, California",720
"Nevada County, California",948
"Orange County, California",13928
"Placer County, California",4913
"Riverside County, California",15275
"Sacramento County, California",7675
"San Benito County, California",411
"San Bernardino County, California",11590
"San Diego County, California",13961
"San Francisco County, California",5688
"San Joaquin County, California",5709
"San Luis Obispo County, California",2618
"San Mateo County, California",1366
"Santa Barbara County, California",1553
"Santa Clara County, California",12135
"Santa Cruz County, California",607
"Shasta County, California",462
"Solano County, California",1610
"Sonoma County, California",2117
"Stanislaus County, California",1651
"Sutter County, California",223
"Tehama County, California",82
"Tulare County, California",2630
"Ventura County, California",3855
"Yolo County, California",1552
"Yuba County, California",514
"Adams County, Colorado",7067
"Arapahoe County, Colorado",5436
"Boulder County, Colorado",3580
"Broomfield County, Colorado",891
"Denver County, Colorado",12174
"Douglas County, Colorado",7914
"El Paso County, Colorado",7484
"Jefferson County, Colorado",4969
"Larimer County, Colorado",4494
"Mesa County, Colorado",1975
"Pueblo County, Colorado",685
"Weld County, Colorado",7100
"Capitol Planning Region, Connecticut",2209
"Greater Bridgeport Planning Region, Connecticut",661
"Lower Connecticut River Valley Planning Region, Connecticut",72
"Naugatuck Valley Planning Region, Connecticut",1733
"Northeastern Connecticut Planning Region, Connecticut",1298
"Northwest Hills Planning Region, Connecticut",545
"South Central Connecticut Planning Region, Connecticut",1533
"Southeastern Connecticut Planning Region, Connecticut",1345
"Western Connecticut Planning Region, Connecticut",2590
"Kent County, Delaware",1610
"New Castle County, Delaware",2076
"Sussex County, Delaware",9405
"District of Columbia, District of Columbia",10813
"Alachua County, Florida",3141
"Bay County, Florida",4132
"Brevard County, Florida",6395
"Broward County, Florida",11182
"Charlotte County, Florida",3415
"Citrus County, Florida",2798
"Clay County, Florida",3663
"Collier County, Florida",8057
"Columbia County, Florida",995
"Duval County, Florida",12956
"Escambia County, Florida",4358
"Flagler County, Florida",3229
"Hernando County, Florida",1019
"Highlands County, Florida",411
"Hillsborough County, Florida",20108
"Indian River County, Florida",2828
"Lake County, Florida",6892
"Lee County, Florida",14177
"Leon County, Florida",2315
"Manatee County, Florida",11101
"Marion County, Florida",7384
"Martin County, Florida",1445
"Miami-Dade County, Florida",19146
"Monroe County, Florida",1731
"Nassau County, Florida",3828
"Okaloosa County, Florida",2762
"Orange County, Florida",18678
"Osceola County, Florida",9858
"Palm Beach County, Florida",11106
"Pasco County, Florida",13919
"Pinellas County, Florida",4365
"Polk County, Florida",15049
"Putnam County, Florida",154
"St. Johns County, Florida",10463
"St. Lucie County, Florida",8949
"Santa Rosa County, Florida",4705
"Sarasota County, Florida",10454
"Seminole County, Florida",4404
"Sumter County, Florida",6170
"Volusia County, Florida",8870
"Walton County, Florida",2221
"Barrow County, Georgia",1885
"Bartow County, Georgia",2657
"Bibb County, Georgia",441
"Bulloch County, Georgia",332
"Carroll County, Georgia",1992
"Catoosa County, Georgia",860
"Chatham County, Georgia",4385
"Cherokee County, Georgia",5913
"Clarke County, Georgia",1471
"Clayton County, Georgia",1283
"Cobb County, Georgia",5326
"Columbia County, Georgia",2344
"Coweta County, Georgia",1498
"DeKalb County, Georgia",8442
"Dougherty County, Georgia",486
"Douglas County, Georgia",1232
"Effingham County, Georgia",736
"Fayette County, Georgia",1260
"Floyd County, Georgia",607
"Forsyth County, Georgia",4254
"Fulton County, Georgia",13301
"Glynn County, Georgia",963
"Gwinnett County, Georgia",10235
"Hall County, Georgia",4224
"Henry County, Georgia",3586
"Houston County, Georgia",1395
"Jackson County, Georgia",2410
"Liberty County, Georgia",1188
"Lowndes County, Georgia",1236
"Muscogee County, Georgia",691
"Newton County, Georgia",1804
"Paulding County, Georgia",2348
"Richmond County, Georgia",2471
"Rockdale County, Georgia",786
"Spalding County, Georgia",563
"Troup County, Georgia",458
"Walker County, Georgia",177
"Walton County, Georgia",1038
"Whitfield County, Georgia",126
"Hawaii County, Hawaii",856
"Honolulu County, Hawaii",3246
"Kauai County, Hawaii",272
"Maui County, Hawaii",279
"Ada County, Idaho",11932
"Bannock County, Idaho",933
"Bonneville County, Idaho",2008
"Canyon County, Idaho",4852
"Kootenai County, Idaho",3253
"Twin Falls County, Idaho",924
"Champaign County, Illinois",1324
"Cook County, Illinois",13012
"DeKalb County, Illinois",224
"DuPage County, Illinois",3678
"Kane County, Illinois",2929
"Kankakee County, Illinois",220
"Kendall County, Illinois",2376
"Lake County, Illinois",1665
"LaSalle County, Illinois",1066
"McHenry County, Illinois",912
"McLean County, Illinois",435
"Macon County, Illinois",133
"Madison County, Illinois",1221
"Peoria County, Illinois",469
"Rock Island County, Illinois",758
"St. Clair County, Illinois",1135
"Sangamon County, Illinois",291
"Tazewell County, Illinois",428
"Vermilion County, Illinois",233
"Will County, Illinois",2534
"Williamson County, Illinois",249
"Winnebago County, Illinois",240
"Allen County, Indiana",2604
