County,Median Household Income
"Autauga County, Alabama",70148
"Baldwin County, Alabama",71704
"Barbour County, Alabama",41151
"Bibb County, Alabama",54309
"Blount County, Alabama",60553
"Bullock County, Alabama",35798
"Butler County, Alabama",41852
"Calhoun County, Alabama",52772
"Chambers County, Alabama",45563
"Cherokee County, Alabama",52613
"Chilton County, Alabama",61823
"Choctaw County, Alabama",44458
"Clarke County, Alabama",44906
"Clay County, Alabama",49599
"Cleburne County, Alabama",49248
"Coffee County, Alabama",62429
"Colbert County, Alabama",54593
"Conecuh County, Alabama",36106
"Coosa County, Alabama",49485
"Covington County, Alabama",46958
"Crenshaw County, Alabama",49161
"Cullman County, Alabama",61774
"Dale County, Alabama",50567
"Dallas County, Alabama",35258
"DeKalb County, Alabama",50037
"Elmore County, Alabama",71463
"Escambia County, Alabama",47792
"Etowah County, Alabama",55487
"Fayette County, Alabama",49205
"Franklin County, Alabama",49611
"Geneva County, Alabama",51585
"Greene County, Alabama",35449
"Hale County, Alabama",44702
"Henry County, Alabama",56702
"Houston County, Alabama",56842
"Jackson County, Alabama",51965
"Jefferson County, Alabama",61996
"Lamar County, Alabama",51523
"Lauderdale County, Alabama",59023
"Lawrence County, Alabama",55516
"Lee County, Alabama",59637
"Limestone County, Alabama",83159
"Lowndes County, Alabama",42268
"Macon County, Alabama",36601
"Madison County, Alabama",80426
"Marengo County, Alabama",45587
"Marion County, Alabama",47742
"Marshall County, Alabama",53388
"Mobile County, Alabama",54315
"Monroe County, Alabama",47498
"Montgomery County, Alabama",56862
"Morgan County, Alabama",62260
"Perry County, Alabama",33585
"Pickens County, Alabama",45440
"Pike County, Alabama",45144
"Randolph County, Alabama",49433
"Russell County, Alabama",45074
"St. Clair County, Alabama",70361
"Shelby County, Alabama",98263
"Sumter County, Alabama",35152
"Talladega County, Alabama",55186
"Tallapoosa County, Alabama",55270
"Tuscaloosa County, Alabama",60875
"Walker County, Alabama",51065
"Washington County, Alabama",53785
"Wilcox County, Alabama",33682
"Winston County, Alabama",51149
"Aleutians East Borough, Alaska",85852
"Aleutians West Census Area, Alaska",112218
"Anchorage Borough, Alaska",99162
"Bethel Census Area, Alaska",59011
"Bristol Bay Borough, Alaska",96382
"Chugach Census Area, Alaska",91356
"Copper River Census Area, Alaska",63837
"Denali Borough, Alaska",90897
"Dillingham Census Area, Alaska",69716
"Fairbanks North Star Borough, Alaska",84166
"Haines Borough, Alaska",70610
"Hoonah-Angoon Census Area, Alaska",64181
"Juneau Borough, Alaska",102097
"Kenai Peninsula Borough, Alaska",76254
"Ketchikan Gateway Borough, Alaska",82648
"Kodiak Island Borough, Alaska",83222
"Kusilvak Census Area, Alaska",41824
"Lake and Peninsula Borough, Alaska",63038
"Matanuska-Susitna Borough, Alaska",86313
"Nome Census Area, Alaska",64480
"North Slope Borough, Alaska",95795
"Northwest Arctic Borough, Alaska",69234
"Petersburg Borough, Alaska",76641
"Prince of Wales-Hyder Census Area, Alaska",58381
"Sitka Borough, Alaska",90345
"Skagway Municipality, Alaska",73603
"Southeast Fairbanks Census Area, Alaska",74732
"Wrangell City and Borough, Alaska",67761
"Yakutat Borough, Alaska",78552
"Yukon-Koyukuk Census Area, Alaska",47798
"Apache County, Arizona",40632
"Cochise County, Arizona",55254
"Coconino County, Arizona",64016
"Gila County, Arizona",51928
"Graham County, Arizona",63797
"Greenlee County, Arizona",76338
"La Paz County, Arizona",53925
"Maricopa County, Arizona",83668
"Mohave County, Arizona",54842
"Navajo County, Arizona",49948
"Pima County, Arizona",64007
"Pinal County, Arizona",76232
"Santa Cruz County, Arizona",53467
"Yavapai County, Arizona",64187
"Yuma County, Arizona",54209
"Arkansas County, Arkansas",52145
"Ashley County, Arkansas",47253
"Baxter County, Arkansas",48573
"Benton County, Arkansas",86374
"Boone County, Arkansas",53025
"Bradley County, Arkansas",44982
"Calhoun County, Arkansas",52535
"Carroll County, Arkansas",50433
"Chicot County, Arkansas",38217
"Clark County, Arkansas",50519
"Clay County, Arkansas",46855
"Cleburne County, Arkansas",52662
"Cleveland County, Arkansas",55533
"Columbia County, Arkansas",47278
"Conway County, Arkansas",52405
"Craighead County, Arkansas",60580
"Crawford County, Arkansas",54741
"Crittenden County, Arkansas",49644
"Cross County, Arkansas",48299
"Dallas County, Arkansas",44476
"Desha County, Arkansas",41251
"Drew County, Arkansas",48635
"Faulkner County, Arkansas",63429
"Franklin County, Arkansas",48248
"Fulton County, Arkansas",42588
"Garland County, Arkansas",53239
"Grant County, Arkansas",63512
"Greene County, Arkansas",54475
"Hempstead County, Arkansas",46423
"Hot Spring County, Arkansas",50654
"Howard County, Arkansas",46449
"Independence County, Arkansas",57611
"Izard County, Arkansas",43920
"Jackson County, Arkansas",43579
"Jefferson County, Arkansas",45894
"Johnson County, Arkansas",46660
"Lafayette County, Arkansas",42437
"Lawrence County, Arkansas",47312
"Lee County, Arkansas",35213
"Lincoln County, Arkansas",48311
"Little River County, Arkansas",48883
"Logan County, Arkansas",48510
"Lonoke County, Arkansas",66160
"Madison County, Arkansas",51233
"Marion County, Arkansas",49313
"Miller County, Arkansas",48652
"Mississippi County, Arkansas",45168
"Monroe County, Arkansas",33090
"Montgomery County, Arkansas",46069
"Nevada County, Arkansas",44649
"Newton County, Arkansas",47996
"Ouachita County, Arkansas",49275
"Perry County, Arkansas",56640
