County,2020 Median,2021 Median,2022 Median,2023 Median,Median Home Price (2023)
"Blount County, Alabama",190000,205000,230000,255000,255000
"Bullock County, Alabama",145000,158350,180000,190000,190000
"Butler County, Alabama",145000,158350,180000,190000,190000
"Calhoun County, Alabama",145000,158350,180000,190000,190000
"Chambers County, Alabama",145000,158350,180000,190000,190000
"Cherokee County, Alabama",155000,162000,180000,210000,210000
"Chilton County, Alabama",148000,158350,180000,195000,195000
"Choctaw County, Alabama",145000,158350,180000,190000,190000
"Clarke County, Alabama",145000,158350,180000,190000,190000
"Clay County, Alabama",145000,158350,180000,190000,190000
"Cleburne County, Alabama",145000,158350,180000,190000,190000
"Coffee County, Alabama",150000,158900,180000,190000,190000
"Colbert County, Alabama",150000,162500,182500,190000,190000
"Conecuh County, Alabama",145000,158350,180000,190000,190000
"Coosa County, Alabama",175000,180000,187000,190000,190000
"Covington County, Alabama",145000,158350,180000,190000,190000
"Crenshaw County, Alabama",145000,158350,180000,190000,190000
"Cullman County, Alabama",162835,166100,210000,221000,221000
"Dale County, Alabama",145000,158350,180000,190000,190000
"Dallas County, Alabama",145000,158350,180000,190000,190000
"DeKalb County, Alabama",145000,158350,180000,190000,190000
"Elmore County, Alabama",178900,195000,209846.5,230000,230000
"Escambia County, Alabama",145000,158350,180000,190000,190000
"Etowah County, Alabama",145000,158350,180000,190000,190000
"Fayette County, Alabama",145000,158350,180000,190000,190000
"Franklin County, Alabama",145000,158350,180000,190000,190000
"Geneva County, Alabama",149700,158350,180000,190000,190000
"Greene County, Alabama",145000,158350,180000,190000,190000
"Hale County, Alabama",175375,189500,214000,230000,230000
"Henry County, Alabama",154000,163750,180000,190000,190000
"Houston County, Alabama",152000,158820,180000,191750,191750
"Jackson County, Alabama",148000,158350,180000,197500,197500
"Jefferson County, Alabama",194900,209000,235000,255000,255000
"Lamar County, Alabama",145000,158350,180000,190000,190000
"Lauderdale County, Alabama",155000,162500,185065,201000,201000
"Lawrence County, Alabama",149900,160000,180000,209000,209000
"Lee County, Alabama",200000,220000,243304,252040,252040
"Limestone County, Alabama",177000,195000,230000,275000,275000
"Lowndes County, Alabama",155000,165000,180000,196000,196000
"Macon County, Alabama",145000,158350,180000,190000,190000
"Madison County, Alabama",178000,195000,230558.5,276125,276125
