County,Costs with Mortgage,Cost without Mortgage,Average Mortgage Cost,Average Rent Cost,Rent vs. Mortgage
"Baldwin County, Alabama",1501,410,1091,1107,16
"Calhoun County, Alabama",1013,341,672,669,-3
"Cullman County, Alabama",1317,391,926,811,-115
"DeKalb County, Alabama",1105,379,726,640,-86
"Elmore County, Alabama",1255,359,896,1018,122
"Etowah County, Alabama",1193,386,807,796,-11
"Houston County, Alabama",1212,367,845,800,-45
"Jefferson County, Alabama",1471,458,1013,1096,83
"Lauderdale County, Alabama",1121,395,726,834,108
"Lee County, Alabama",1356,436,920,973,53
"Limestone County, Alabama",1385,445,940,971,31
"Madison County, Alabama",1423,453,970,1105,135
"Marshall County, Alabama",1268,359,909,757,-152
"Mobile County, Alabama",1219,390,829,943,114
"Montgomery County, Alabama",1199,421,778,980,202
"Morgan County, Alabama",1318,400,918,851,-67
"St. Clair County, Alabama",1358,393,965,821,-144
"Shelby County, Alabama",1593,472,1121,1337,216
"Talladega County, Alabama",1175,365,810,726,-84
"Tuscaloosa County, Alabama",1426,423,1003,944,-59
"Anchorage Municipality, Alaska",2190,793,1397,1381,-16
"Fairbanks North Star Borough, Alaska",2138,743,1395,1368,-27
"Matanuska-Susitna Borough, Alaska",1907,547,1360,1318,-42
"Apache County, Arizona",1215,241,974,684,-290
"Cochise County, Arizona",1203,378,825,920,95
"Coconino County, Arizona",1695,398,1297,1284,-13
"Maricopa County, Arizona",1734,498,1236,1618,382
"Mohave County, Arizona",1317,368,949,1069,120
"Navajo County, Arizona",1240,363,877,924,47
"Pima County, Arizona",1469,505,964,1135,171
"Pinal County, Arizona",1498,450,1048,1583,535
"Yavapai County, Arizona",1557,457,1100,1166,66
"Yuma County, Arizona",1210,386,824,895,71
"Benton County, Arkansas",1533,507,1026,1158,132
"Craighead County, Arkansas",1239,462,777,858,81
"Faulkner County, Arkansas",1161,483,678,917,239
"Garland County, Arkansas",1131,386,745,872,127
"Jefferson County, Arkansas",1089,394,695,774,79
"Lonoke County, Arkansas",1277,414,863,919,56
"Pulaski County, Arkansas",1354,474,880,935,55
"Saline County, Arkansas",1283,435,848,882,34
"Sebastian County, Arkansas",1155,425,730,763,33
"Washington County, Arkansas",1480,450,1030,919,-111
"White County, Arkansas",1018,365,653,815,162
"Alameda County, California",3509,910,2599,2183,-416
"Butte County, California",1985,592,1393,1307,-86
"Contra Costa County, California",3107,894,2213,2206,-7
"El Dorado County, California",2818,881,1937,1754,-183
"Fresno County, California",1926,637,1289,1304,15
"Humboldt County, California",1849,613,1236,1181,-55
"Imperial County, California",1590,541,1049,954,-95
"Kern County, California",1762,591,1171,1208,37
"Kings County, California",1563,485,1078,1401,323
"Lake County, California",1617,637,980,1171,191
"Los Angeles County, California",2879,782,2097,1805,-292
"Madera County, California",1889,582,1307,1189,-118
"Marin County, California","4,000+",1244,0,2375,2375
"Mendocino County, California",2246,661,1585,1239,-346
"Merced County, California",1769,571,1198,1204,6
"Monterey County, California",2431,787,1644,1909,265
"Napa County, California",2999,886,2113,2013,-100
"Nevada County, California",2589,950,1639,1532,-107
"Orange County, California",3081,824,2257,2251,-6
"Placer County, California",2670,820,1850,1907,57
"Riverside County, California",2320,688,1632,1763,131
"Sacramento County, California",2226,686,1540,1667,127
"San Benito County, California",3003,827,2176,1609,-567
"San Bernardino County, California",2178,624,1554,1656,102
"San Diego County, California",2881,791,2090,2045,-45
"San Francisco County, California","4,000+",876,0,2308,2308
"San Joaquin County, California",2234,677,1557,1608,51
"San Luis Obispo County, California",2469,735,1734,1847,113
"San Mateo County, California","4,000+",1031,0,2690,2690
"Santa Barbara County, California",2653,727,1926,1975,49
"Santa Clara County, California","4,000+",1069,0,2624,2624
"Santa Cruz County, California",3156,821,2335,1999,-336
"Shasta County, California",1794,664,1130,1152,22
"Solano County, California",2493,704,1789,2056,267
"Sonoma County, California",2724,841,1883,1923,40
"Stanislaus County, California",1997,638,1359,1436,77
"Sutter County, California",1971,665,1306,1408,102
"Tehama County, California",1644,559,1085,1086,1
"Tulare County, California",1622,523,1099,1196,97
"Ventura County, California",2817,753,2064,2147,83
"Yolo County, California",2411,733,1678,1735,57
"Yuba County, California",2014,589,1425,1124,-301
"Adams County, Colorado",2182,646,1536,1659,123
"Arapahoe County, Colorado",2173,674,1499,1762,263
"Boulder County, Colorado",2398,789,1609,1826,217
